Category,Subcategory,Title,Author
Science/Tech/Exploration,Exploration,Endurance: Shackleton's Incredible Voyage,Alfred Lansing
Science/Tech/Exploration,Exploration,The Travels,Marco Polo
Science/Tech/Exploration,Inventor,Edison,Edmund  Morris
Science/Tech/Exploration,Math,God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen W. Hawking
Science/Tech/Exploration,Math,Power-Up: Unlocking the Hidden Mathematics in Video Games,Matthew Lane
Science/Tech/Exploration,Math,The Colossal Book of Mathematics,Martin Gardner
Science/Tech/Exploration,Medicine,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee
Science/Tech/Exploration,Medicine,"The Medical Book: From Witch Doctors to Robot Surgeons, 250 Milestones in the History of Medicine (Union Square & Co. Milestones)",Clifford A. Pickover
Science/Tech/Exploration,Physics,A Brief History of Time,Stephen W. Hawking
Science/Tech/Exploration,Physics,Beyond Star Trek: Physics from Alien Invasions to the End of Time,Lawrence M. Krauss
Science/Tech/Exploration,Physics,For the Love of Physics: From the End of the Rainbow to the Edge of Time - A Journey Through the Wonders of Physics,Walter Lewin
Science/Tech/Exploration,Physics,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene
Science/Tech/Exploration,Science essays,Searching for Stars on an Island in Maine,Alan Lightman
Science/Tech/Exploration,Space,Hidden Figures,Margot Lee Shetterly
Science/Tech/Exploration,Space memoir,"Endurance: A Year in Space, A Lifetime of Discovery",Scott    Kelly
Science/Tech/Exploration,Video Games,Assassin's Creed: The Complete Visual History,Matthew       Miller
Science/Tech/Exploration,Video Games,Retro Gaming: A Byte-sized History of Video Games,Mike Diver
Science/Tech/Exploration,Women scientists,Magnificent Minds: Seventeen Pioneering Women in Science and Medicine,Pendred E. Noyce
Science/Tech/Exploration,Women scientists,Remarkable Minds: Seventeen More Pioneering Women in Science and Medicine,Pendred Noyce
Science/Tech/Exploration,xkcd,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe
Self-Help/Psychology,,"A Beautiful Mind, A Beautiful Life: The Bubz Guide to Being Unstoppable",Lindy Tsang
Self-Help/Psychology,,How to Win Friends & Influence People,Dale Carnegie
Self-Help/Psychology,,Self-Esteem and the Physical You,Anita Canfield
Self-Help/Psychology,,The Anatomy of Peace: Resolving the Heart of Conflict,The Arbinger Institute
Self-Help/Psychology,,Who Moved My Cheese?,Spencer Johnson
Self-Help/Psychology,Decision-Making,Smart Choices: A Practical Guide to Making Better Decisions,John S. Hammond
Self-Help/Psychology,Leadership,Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute
Self-Help/Psychology,Peterson,Beyond Order: 12 More Rules For Life,Jordan B. Peterson
Sports,Baseball,Baseball: The Golden Age (Oxford Paperbacks),Harold Seymour
Sports,Baseball,Baseball: The Turbulent Midcentury Years,Steven P. Gietschier
Sports,Baseball,Basic Baseball Strategy: An Introduction for Coaches and Players,Chuck Freeman
Sports,Baseball,"Forever Blue: The True Story of Walter O'Malley, Baseball's Most Controversial Owner, and the Dodgers of Brooklyn and Los Angeles",Michael D'Antonio
Sports,Baseball,K: A History of Baseball in Ten Pitches (Random House Large Print),Tyler Kepner
Sports,Baseball,Moneyball,Michael   Lewis
Sports,Baseball,"Now I Can Die in Peace: How ESPN's Sports Guy Found Salvation, with a Little Help from Nomar, Pedro, Shawshank and the 2004 Red Sox",Bill Simmons
Sports,Baseball,Sandy Koufax: A Lefty's Legacy,Jane Leavy
Sports,Baseball,Shades of Glory: The Negro Leagues & the Story of African-American Baseball,Lawrence D. Hogan
Sports,Baseball,"Sixty Feet, Six Inches: A Hall of Fame Pitcher & a Hall of Fame Hitter Talk About How the Game Is Played",Bob Gibson
Sports,Baseball,Sports Illustrated: The Baseball Book,Sports Illustrated
Sports,Baseball,Summer of '49,David Halberstam
Sports,Baseball,The Baseball 100,Joe Posnanski
Sports,Baseball,The Baseball Chronicle: Year-By-Year History of Major League Baseball,Publications International
Sports,Baseball,The Boys of Summer,Roger Kahn
Sports,Baseball,The Cubs Way: The Zen of Building the Best Team in Baseball and Breaking the Curse,Tom Verducci
Sports,Baseball,The Kid: The Immortal Life of Ted Williams,Ben Bradlee Jr.
Sports,Baseball,The Little Big Book of Baseball,Hiro Clark Wakabayashi
Sports,Baseball,The Lords of Baseball: A Wry Look at a Side of the Game the Fan Seldom Sees - The Front Office,Harold Parrott
Sports,Baseball,The Only Way I Know: With Highlights from the 1997 Season,Cal Ripken Jr.
Sports,Baseball,"The Streak: Lou Gehrig, Cal Ripken Jr., and Baseball's Most Historic Record",John Eisenberg
Sports,Baseball,The Yankee Years,Joe Torre
Sports,Baseball,"Watching Baseball Smarter: A Professional Fan's Guide for Beginners, Semi-experts, and Deeply Serious Geeks",Zack Hample
Sports,Baseball,"Willie Mays: The Life, The Legend",James S. Hirsch
Sports,Baseball,Yogi: It Ain't Over,Yogi Berra
Sports,Basketball,Doc: The Rise and Rise of Julius Erving,Vincent M. Mallozzi
Sports,Basketball,Eleven Rings: The Soul of Success,Phil Jackson
Sports,Basketball,Playing for Keeps: Michael Jordan and the World He Made,David Halberstam
Sports,Basketball,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons
Sports,Boxing,King of the World: Muhammad Ali and the Rise of an American Hero,David Remnick
Sports,Chess,Bobby Fischer Teaches Chess,Bobby Fischer
Sports,Chess,Chess Basics,David Levens
Sports,Figure Skating,My Sergei: A Love Story,Ekaterina Gordeeva
Sports,Golf,"The Grand Slam: Bobby Jones, America, and the Story of Golf",Mark Frost
Sports,Rowing,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown
Sports,Running,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall
Sports,Scrabble,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis
Sports,Soccer,The Ball is Round: A Global History of Soccer,David Goldblatt
Sports,Sports media,Republicans Buy Sneakers Too: How the Left Is Ruining Sports with Politics,Clay Travis
Sports,Ultimate,Ultimate: The Greatest Sport Ever Invented by Man,Pasquale Anthony Leonardo
Sports,Ultimate Frisbee,"Ultimate Glory: Frisbee, Obsession, and My Wild Youth",David Gessner
World History,,1688: A Global History,John E. Wills Jr.
World History,,The Illustrated World History: A Record Of World Events From Earliest Historical Times To The Present Day,John Alexander Hammerton
World History,19th Century,The Birth of the Modern: World Society 1815-1830,Paul  Johnson
World History,20th Century,Modern Times: The World from the Twenties to the Nineties,Paul  Johnson
World History,20th Century,The War of the World: Twentieth-Century Conflict and the Descent of the West,Niall Ferguson
World History,Ancient,The History of the Ancient World: From the Earliest Accounts to the Fall of Rome,Susan Wise Bauer
World History,Ancient Judea,The New Complete Works of Josephus,Flavius Josephus
World History,Aztecs,"Conquest: Montezuma, Cortés and the Fall of Old Mexico",Hugh Thomas
World History,Big History,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond
World History,Bolivar,Simón Bolívar: A Life,John   Lynch
World History,China,The Search For Modern China,Jonathan D. Spence
World History,Gandhi,Gandhi: An Autobiography,Mahatma Gandhi
World History,Incas,History Of The Conquest Of Peru,William Hickling Prescott
World History,India,"The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire",William Dalrymple
World History,Islam,Crusade and Jihad: The Thousand-Year War Between the Muslim World and the Global North,William R. Polk
World History,Israel,Israel : A History,Martin  Gilbert
World History,Japan,Hirohito and the Making of Modern Japan,Herbert P. Bix
World History,Japan,Premodern Japan: A Historical Survey,Mikiso Hane
World History,Japan,Showa 1926-1939: A History of Japan,Shigeru Mizuki
World History,Jewish History,"The Story of the Jews: Finding the Words, 1000 BCE – 1492 CE",Simon Schama
World History,Jewish history,A History of the Jews,Paul  Johnson
World History,Latin America,Born in Blood and Fire: A Concise History of Latin America,John Charles Chasteen
World History,Latin America,Che Guevara: A Revolutionary Life,Jon Lee Anderson
World History,Medieval,The History of the Medieval World: From the Conversion of Constantine to the First Crusade,Susan Wise Bauer
World History,Middle East,A History of the Arab Peoples,Albert Hourani
World History,Mongols,Genghis Khan and the Making of the Modern World,Jack Weatherford
World History,North Korea,Under the Loving Care of the Fatherly Leader: North Korea and the Kim Dynasty,Bradley K. Martin
World History,Pacific,"Pacific: Silicon Chips and Surfboards, Coral Reefs and Atom Bombs, Brutal Dictators, Fading Empires, and the Coming Collision of the World's Superpowers",Simon Winchester
World History,Royalty,Princesses Behaving Badly: Real Stories from History—Without the Fairy-Tale Endings,Linda Rodríguez McRobbie
World History,Six-Day War,Fantastic Victory,W. Cleon Skousen
World History,Speeches,Speeches That Changed the World,Simon Sebag Montefiore
World History,Strategy,Strategy: A History,Lawrence Freedman
World History,Syria,Syria Burning: A Short History of a Catastrophe,Charles Glass
World History,Vietnam,Vietnam: A History,Stanley Karnow
World History,WWII,"A War of Empires: Japan, India, Burma and Britain: 1941–45",Robert Lyman
World History,WWII,A World at Arms: A Global History of World War II,Gerhard L. Weinberg
World History,WWII,The Second World Wars: How the First Global Conflict Was Fought and Won,Victor Davis Hanson
